Threshold,Instances size,Accuracy,Roc Auc,,,,,,,,,,
0,138,0.80,0.83,,,,,,,,,,
0.75,107,0.81,0.83,,,,,,,,,,
0.85,92,0.83,0.84,,,,,,,,,,
0.95,58,0.84,0.84,,,,,,,,,,
,,,,,,,,,,,neutral,positive,negative
,,,,,,,,,,,42,50,88
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
human,algo,count,percantage,,human,algo,count,percantage,,,,,
1,-1,3,0.08,,1,-1,5,0.087719298,,,,,
-1,1,13,0.36,,-1,1,19,0.333333333,,,,,
0,1,8,0.22,,0,1,19,0.333333333,,,neutral,positive,negative
0,-1,12,0.33,,0,-1,14,0.245614035,,,370,8512,"3,922"
